Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::transpose,,,16.17,30.49,0,0,0,0
aten::as_strided,,,14.32,14.32,0,0,0,0
aten::slice,,,5.28,10.78,0,0,0,0
aten::as_strided,,,5.5,5.5,0,0,0,0
aten::slice,,,5.2,8.25,0,0,0,0
aten::as_strided,,,3.05,3.05,0,0,0,0
aten::slice,,,1.79,4.76,0,0,0,0
aten::as_strided,,,2.97,2.97,0,0,0,0
aten::view,,,14.03,14.03,0,0,0,0
aten::slice,,,8.85,16.24,0,0,0,0
aten::as_strided,,,7.39,7.39,0,0,0,0
aten::transpose,,,5.19,10.94,0,0,0,0
aten::as_strided,,,5.75,5.75,0,0,0,0
aten::contiguous,,,3.61,115.02,0,21.74,0,0
aten::clone,,,7.0,111.41,0,21.74,0,0
empty_tensor,,,20.41,20.41,0,0,0,0
aten::copy_,,,58.65,84.0,0,21.74,0,0
aclnnInplaceCopy,,,25.35,25.35,21.74,21.74,0,0
aten::transpose,,,6.19,9.74,0,0,0,0
aten::as_strided,,,3.55,3.55,0,0,0,0
aten::to,,,4.82,4.82,0,0,0,0
aten::unsqueeze,,,2.94,5.01,0,0,0,0
aten::as_strided,,,2.07,2.07,0,0,0,0
_causal_conv1d_update_kernel_npu_tiled,,,39.94,39.94,6.98,6.98,0,0
aten::squeeze,,,8.22,14.98,0,0,0,0
aten::as_strided,,,6.76,6.76,0,0,0,0
aten::to,,,2.43,2.43,0,0,0,0
aten::split_with_sizes,,,8.22,19.87,0,0,0,0
aten::as_strided,,,7.08,7.08,0,0,0,0
aten::as_strided,,,3.13,3.13,0,0,0,0
aten::as_strided,,,1.44,1.44,0,0,0,0
aten::reshape,,,2.35,7.13,0,0,0,0
aten::view,,,4.78,4.78,0,0,0,0
aten::reshape,,,1.46,4.28,0,0,0,0
aten::view,,,2.82,2.82,0,0,0,0
aten::reshape,,,1.37,7.13,0,0,0,0
aten::view,,,5.76,5.76,0,0,0,0
aten::reshape,,,1.13,3.25,0,0,0,0
aten::view,,,2.12,2.12,0,0,0,0
aten::reshape,,,1.42,3.92,0,0,0,0
aten::view,,,2.5,2.5,0,0,0,0
aten::reshape,,,1.12,3.0,0,0,0,0
aten::view,,,1.88,1.88,0,0,0,0
aten::new_empty,,,3.24,28.17,0,0,0,0
aten::empty,,,8.44,24.93,0,0,0,0
empty_tensor,,,16.49,16.49,0,0,0,0
fused_sigmoid_gating_delta_rule_update_kernel,,,38.54,38.54,15.42,15.42,0,0
aten::squeeze,,,7.92,15.2,0,0,0,0
aten::as_strided,,,7.28,7.28,0,0,0,0
aten::squeeze,,,2.81,5.05,0,0,0,0
aten::as_strided,,,2.24,2.24,0,0,0,0
aten::copy_,,,91.56,113.23,0,0.58,0,0
aclnnInplaceCopy,,,21.67,21.67,0.58,0.58,0,0
aten::fill_,,,20.25,41.73,0,1.4,0,0
aclnnInplaceFillScalar,,,21.48,21.48,1.4,1.4,0,0
aten::fill_,,,9.05,14.78,0,1.36,0,0
aclnnInplaceFillScalar,,,5.73,5.73,1.36,1.36,0,0
vllm::gdn_attention_core,,,1496.96,2001.76,0,33.220000000000006,0,0
aten::transpose,,,13.14,23.49,0,0,0,0
aten::as_strided,,,10.35,10.35,0,0,0,0
aten::slice,,,7.22,10.88,0,0,0,0
aten::as_strided,,,3.66,3.66,0,0,0,0
aten::slice,,,2.06,4.6,0,0,0,0
aten::as_strided,,,2.54,2.54,0,0,0,0
aten::slice,,,1.65,3.94,0,0,0,0
aten::as_strided,,,2.29,2.29,0,0,0,0
aten::view,,,9.97,9.97,0,0,0,0
aten::slice,,,8.27,15.31,0,0,0,0
aten::as_strided,,,7.04,7.04,0,0,0,0
aten::transpose,,,4.23,7.22,0,0,0,0
aten::as_strided,,,2.99,2.99,0,0,0,0
aten::contiguous,,,3.53,90.14,0,14.16,0,0
aten::clone,,,7.43,86.61,0,14.16,0,0
empty_tensor,,,17.65,17.65,0,0,0,0
aten::copy_,,,30.1,61.53,0,14.16,0,0
aclnnInplaceCopy,,,31.43,31.43,14.16,14.16,0,0
aten::transpose,,,8.31,11.73,0,0,0,0
aten::as_strided,,,3.42,3.42,0,0,0,0
aten::to,,,1.98,1.98,0,0,0,0
aten::unsqueeze,,,2.94,5.46,0,0,0,0
aten::as_strided,,,2.52,2.52,0,0,0,0
_causal_conv1d_update_kernel_npu_tiled,,,59.51,59.51,7.08,7.08,0,0
aten::squeeze,,,7.49,14.07,0,0,0,0
aten::as_strided,,,6.58,6.58,0,0,0,0
aten::to,,,4.8,4.8,0,0,0,0
aten::split_with_sizes,,,7.87,16.47,0,0,0,0
aten::as_strided,,,4.03,4.03,0,0,0,0
aten::as_strided,,,3.07,3.07,0,0,0,0
aten::as_strided,,,1.5,1.5,0,0,0,0
aten::reshape,,,2.45,7.19,0,0,0,0
aten::view,,,4.74,4.74,0,0,0,0
aten::reshape,,,1.17,6.89,0,0,0,0
aten::view,,,5.72,5.72,0,0,0,0
aten::reshape,,,1.52,4.25,0,0,0,0
aten::view,,,2.73,2.73,0,0,0,0
aten::reshape,,,1.13,3.14,0,0,0,0
aten::view,,,2.01,2.01,0,0,0,0
aten::reshape,,,1.43,3.86,0,0,0,0
aten::view,,,2.43,2.43,0,0,0,0
aten::reshape,,,1.07,5.79,0,0,0,0
aten::view,,,4.72,4.72,0,0,0,0
aten::new_empty,,,3.38,25.22,0,0,0,0
aten::empty,,,5.45,21.84,0,0,0,0
empty_tensor,,,16.39,16.39,0,0,0,0
fused_sigmoid_gating_delta_rule_update_kernel,,,37.52,37.52,11.42,11.42,0,0
aten::squeeze,,,7.43,14.8,0,0,0,0
aten::as_strided,,,7.37,7.37,0,0,0,0
aten::squeeze,,,2.45,7.45,0,0,0,0
aten::as_strided,,,5.0,5.0,0,0,0,0
aten::copy_,,,83.58,109.12,0,0.56,0,0
aclnnInplaceCopy,,,25.54,25.54,0.56,0.56,0,0
aten::fill_,,,19.68,37.87,0,1.38,0,0
aclnnInplaceFillScalar,,,18.19,18.19,1.38,1.38,0,0
aten::fill_,,,8.89,11.93,0,1.44,0,0
aclnnInplaceFillScalar,,,3.04,3.04,1.44,1.44,0,0
vllm::gdn_attention_core,,,1468.55,1950.11,0,33.4,0,0
aten::transpose,,,16.18,24.85,0,0,0,0
aten::as_strided,,,8.67,8.67,0,0,0,0
aten::slice,,,4.27,7.86,0,0,0,0
aten::as_strided,,,3.59,3.59,0,0,0,0
aten::slice,,,1.74,4.26,0,0,0,0
aten::as_strided,,,2.52,2.52,0,0,0,0
aten::slice,,,1.64,3.86,0,0,0,0
aten::as_strided,,,2.22,2.22,0,0,0,0
aten::view,,,12.79,12.79,0,0,0,0
aten::slice,,,7.63,11.65,0,0,0,0
aten::as_strided,,,4.02,4.02,0,0,0,0
aten::transpose,,,4.22,6.9,0,0,0,0
aten::as_strided,,,2.68,2.68,0,0,0,0
aten::contiguous,,,3.72,81.5,0,14.58,0,0
aten::clone,,,6.67,77.78,0,14.58,0,0
empty_tensor,,,17.23,17.23,0,0,0,0
aten::copy_,,,31.35,53.88,0,14.58,0,0
aclnnInplaceCopy,,,22.53,22.53,14.58,14.58,0,0
aten::transpose,,,5.61,9.22,0,0,0,0
aten::as_strided,,,3.61,3.61,0,0,0,0
aten::to,,,1.94,1.94,0,0,0,0
aten::unsqueeze,,,2.82,5.19,0,0,0,0
aten::as_strided,,,2.37,2.37,0,0,0,0
_causal_conv1d_update_kernel_npu_tiled,,,33.71,33.71,7.04,7.04,0,0
aten::squeeze,,,10.34,16.84,0,0,0,0
aten::as_strided,,,6.5,6.5,0,0,0,0
aten::to,,,2.26,2.26,0,0,0,0
aten::split_with_sizes,,,8.38,17.71,0,0,0,0
aten::as_strided,,,5.4,5.4,0,0,0,0
aten::as_strided,,,2.44,2.44,0,0,0,0
aten::as_strided,,,1.49,1.49,0,0,0,0
aten::reshape,,,2.66,10.55,0,0,0,0
aten::view,,,7.89,7.89,0,0,0,0
aten::reshape,,,1.18,4.24,0,0,0,0
aten::view,,,3.06,3.06,0,0,0,0
aten::reshape,,,1.39,3.88,0,0,0,0
aten::view,,,2.49,2.49,0,0,0,0
aten::reshape,,,1.14,3.21,0,0,0,0
aten::view,,,2.07,2.07,0,0,0,0
aten::reshape,,,1.4,5.28,0,0,0,0
aten::view,,,3.88,3.88,0,0,0,0
aten::reshape,,,1.0,2.76,0,0,0,0
aten::view,,,1.76,1.76,0,0,0,0
aten::new_empty,,,3.04,28.05,0,0,0,0
aten::empty,,,8.0,25.01,0,0,0,0
empty_tensor,,,17.01,17.01,0,0,0,0
fused_sigmoid_gating_delta_rule_update_kernel,,,40.87,40.87,11.18,11.18,0,0
aten::squeeze,,,8.36,15.92,0,0,0,0
aten::as_strided,,,7.56,7.56,0,0,0,0
aten::squeeze,,,3.38,6.34,0,0,0,0
aten::as_strided,,,2.96,2.96,0,0,0,0
aten::copy_,,,86.65,119.92,0,0.6,0,0
aclnnInplaceCopy,,,33.27,33.27,0.6,0.6,0,0
aten::fill_,,,22.46,46.34,0,1.72,0,0
aclnnInplaceFillScalar,,,23.88,23.88,1.72,1.72,0,0
aten::fill_,,,9.66,14.15,0,1.52,0,0
aclnnInplaceFillScalar,,,4.49,4.49,1.52,1.52,0,0
vllm::unified_attention_with_output,,,342.12,1103.98,0,22.88,0,0
aten::slice,,,8.87,17.23,0,0,0,0
aten::as_strided,,,8.36,8.36,0,0,0,0
aten::slice,,,2.69,7.62,0,0,0,0
aten::as_strided,,,4.93,4.93,0,0,0,0
aten::slice,,,9.83,13.99,0,0,0,0
aten::as_strided,,,4.16,4.16,0,0,0,0
atb::_npu_reshape_and_cache,,,87.7,117.29,0,2.5,0,0
ReshapeCacheOperation,,,29.59,29.59,2.5,2.5,0,0
aten::view,,,12.88,12.88,0,0,0,0
aten::view,,,6.14,6.14,0,0,0,0
aten::slice,,,4.93,9.93,0,0,0,0
aten::as_strided,,,5.0,5.0,0,0,0,0
npu::npu_fused_infer_attention_score,,,296.17,351.55,0,19.82,0,0
empty_tensor,,,15.48,15.48,0,0,0,0
empty_tensor,,,5.94,5.94,0,0,0,0
empty_tensor,,,3.77,3.77,0,0,0,0
empty_tensor,,,3.59,3.59,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,26.6,26.6,19.82,19.82,0,0
aten::view,,,23.64,23.64,0,0,0,0
aten::slice,,,5.6,9.85,0,0,0,0
aten::as_strided,,,4.25,4.25,0,0,0,0
aten::copy_,,,82.58,89.04,0,0.56,0,0
aclnnInplaceCopy,,,6.46,6.46,0.56,0.56,0,0
aten::slice,,,4.74,8.88,0,0,0,0
aten::as_strided,,,4.14,4.14,0,0,0,0
aten::copy_,,,64.78,93.82,0,0,0,0
aclnnInplaceCopy,,,29.04,29.04,0,0,0,0
aten::fill_,,,22.64,47.55,0,1.36,0,0
aclnnInplaceFillScalar,,,24.91,24.91,1.36,1.36,0,0
aten::fill_,,,8.85,14.3,0,1.4,0,0
aclnnInplaceFillScalar,,,5.45,5.45,1.4,1.4,0,0
vllm::gdn_attention_core,,,1473.03,1935.34,0,47.2,0,0
aten::transpose,,,12.18,20.73,0,0,0,0
aten::as_strided,,,8.55,8.55,0,0,0,0
aten::slice,,,4.3,7.89,0,0,0,0
aten::as_strided,,,3.59,3.59,0,0,0,0
aten::slice,,,2.05,5.15,0,0,0,0
aten::as_strided,,,3.1,3.1,0,0,0,0
aten::slice,,,1.97,5.06,0,0,0,0
aten::as_strided,,,3.09,3.09,0,0,0,0
aten::view,,,8.48,8.48,0,0,0,0
aten::slice,,,6.13,9.38,0,0,0,0
aten::as_strided,,,3.25,3.25,0,0,0,0
aten::transpose,,,4.1,8.53,0,0,0,0
aten::as_strided,,,4.43,4.43,0,0,0,0
aten::contiguous,,,4.1,83.17,0,24.12,0,0
aten::clone,,,7.2,79.07,0,24.12,0,0
empty_tensor,,,16.19,16.19,0,0,0,0
aten::copy_,,,29.63,55.68,0,24.12,0,0
aclnnInplaceCopy,,,26.05,26.05,24.12,24.12,0,0
aten::transpose,,,6.01,9.35,0,0,0,0
aten::as_strided,,,3.34,3.34,0,0,0,0
aten::to,,,1.62,1.62,0,0,0,0
aten::unsqueeze,,,2.98,5.46,0,0,0,0
aten::as_strided,,,2.48,2.48,0,0,0,0
_causal_conv1d_update_kernel_npu_tiled,,,34.7,34.7,7.26,7.26,0,0
aten::squeeze,,,7.18,13.71,0,0,0,0
aten::as_strided,,,6.53,6.53,0,0,0,0
aten::to,,,2.04,2.04,0,0,0,0
aten::split_with_sizes,,,8.07,17.23,0,0,0,0
aten::as_strided,,,4.78,4.78,0,0,0,0
aten::as_strided,,,2.96,2.96,0,0,0,0
aten::as_strided,,,1.42,1.42,0,0,0,0
aten::reshape,,,3.34,7.78,0,0,0,0
aten::view,,,4.44,4.44,0,0,0,0
aten::reshape,,,1.25,4.23,0,0,0,0
aten::view,,,2.98,2.98,0,0,0,0
aten::reshape,,,1.39,4.23,0,0,0,0
aten::view,,,2.84,2.84,0,0,0,0
aten::reshape,,,1.28,3.36,0,0,0,0
aten::view,,,2.08,2.08,0,0,0,0
aten::reshape,,,1.88,4.44,0,0,0,0
aten::view,,,2.56,2.56,0,0,0,0
aten::reshape,,,1.04,2.94,0,0,0,0
aten::view,,,1.9,1.9,0,0,0,0
aten::new_empty,,,3.11,24.07,0,0,0,0
aten::empty,,,5.4,20.96,0,0,0,0
empty_tensor,,,15.56,15.56,0,0,0,0
fused_sigmoid_gating_delta_rule_update_kernel,,,37.56,37.56,15.24,15.24,0,0
aten::squeeze,,,8.51,15.97,0,0,0,0
aten::as_strided,,,7.46,7.46,0,0,0,0
aten::squeeze,,,2.79,5.37,0,0,0,0
aten::as_strided,,,2.58,2.58,0,0,0,0
aten::copy_,,,88.64,119.86,0,0.58,0,0
aclnnInplaceCopy,,,31.22,31.22,0.58,0.58,0,0
aten::fill_,,,22.0,45.94,0,1.42,0,0
aclnnInplaceFillScalar,,,23.94,23.94,1.42,1.42,0,0
aten::fill_,,,9.65,17.28,0,1.38,0,0
aclnnInplaceFillScalar,,,7.63,7.63,1.38,1.38,0,0
vllm::gdn_attention_core,,,1454.26,1898.87,0,33.8,0,0
aten::transpose,,,11.88,19.58,0,0,0,0
aten::as_strided,,,7.7,7.7,0,0,0,0
aten::slice,,,4.99,8.89,0,0,0,0
aten::as_strided,,,3.9,3.9,0,0,0,0
aten::slice,,,1.93,3.97,0,0,0,0
aten::as_strided,,,2.04,2.04,0,0,0,0
aten::slice,,,1.12,2.34,0,0,0,0
aten::as_strided,,,1.22,1.22,0,0,0,0
aten::view,,,9.7,9.7,0,0,0,0
aten::slice,,,5.82,8.57,0,0,0,0
aten::as_strided,,,2.75,2.75,0,0,0,0
aten::transpose,,,4.12,6.76,0,0,0,0
aten::as_strided,,,2.64,2.64,0,0,0,0
aten::contiguous,,,3.88,83.17,0,15.14,0,0
aten::clone,,,6.91,79.29,0,15.14,0,0
empty_tensor,,,15.39,15.39,0,0,0,0
aten::copy_,,,29.91,56.99,0,15.14,0,0
aclnnInplaceCopy,,,27.08,27.08,15.14,15.14,0,0
aten::transpose,,,5.76,8.75,0,0,0,0
aten::as_strided,,,2.99,2.99,0,0,0,0
aten::to,,,1.71,1.71,0,0,0,0
aten::unsqueeze,,,3.1,4.95,0,0,0,0
aten::as_strided,,,1.85,1.85,0,0,0,0
_causal_conv1d_update_kernel_npu_tiled,,,35.65,35.65,7.16,7.16,0,0
aten::squeeze,,,6.45,12.55,0,0,0,0
aten::as_strided,,,6.1,6.1,0,0,0,0
aten::to,,,1.95,1.95,0,0,0,0
aten::split_with_sizes,,,7.91,16.24,0,0,0,0
aten::as_strided,,,4.56,4.56,0,0,0,0
aten::as_strided,,,2.75,2.75,0,0,0,0
aten::as_strided,,,1.02,1.02,0,0,0,0
aten::reshape,,,2.13,6.46,0,0,0,0
aten::view,,,4.33,4.33,0,0,0,0
aten::reshape,,,0.76,2.97,0,0,0,0
aten::view,,,2.21,2.21,0,0,0,0
aten::reshape,,,1.09,3.44,0,0,0,0
aten::view,,,2.35,2.35,0,0,0,0
aten::reshape,,,1.23,2.98,0,0,0,0
aten::view,,,1.75,1.75,0,0,0,0
aten::reshape,,,1.16,3.05,0,0,0,0
aten::view,,,1.89,1.89,0,0,0,0
aten::reshape,,,0.75,2.26,0,0,0,0
aten::view,,,1.51,1.51,0,0,0,0
aten::new_empty,,,2.95,23.66,0,0,0,0
aten::empty,,,4.84,20.71,0,0,0,0
empty_tensor,,,15.87,15.87,0,0,0,0
fused_sigmoid_gating_delta_rule_update_kernel,,,36.35,36.35,10.88,10.88,0,0
aten::squeeze,,,7.78,14.24,0,0,0,0
aten::as_strided,,,6.46,6.46,0,0,0,0
aten::squeeze,,,2.36,4.06,0,0,0,0
aten::as_strided,,,1.7,1.7,0,0,0,0
aten::copy_,,,87.62,120.36,0,0.62,0,0
aclnnInplaceCopy,,,32.74,32.74,0.62,0.62,0,0
aten::fill_,,,21.4,45.15,0,1.8,0,0
aclnnInplaceFillScalar,,,23.75,23.75,1.8,1.8,0,0
aten::fill_,,,8.57,14.48,0,1.52,0,0
aclnnInplaceFillScalar,,,5.91,5.91,1.52,1.52,0,0
vllm::gdn_attention_core,,,1546.6,2011.97,0,33.4,0,0
aten::transpose,,,12.93,21.75,0,0,0,0
aten::as_strided,,,8.82,8.82,0,0,0,0
aten::slice,,,4.32,7.92,0,0,0,0
aten::as_strided,,,3.6,3.6,0,0,0,0
aten::slice,,,1.61,3.86,0,0,0,0
aten::as_strided,,,2.25,2.25,0,0,0,0
aten::slice,,,1.18,3.16,0,0,0,0
aten::as_strided,,,1.98,1.98,0,0,0,0
aten::view,,,10.43,10.43,0,0,0,0
aten::slice,,,6.42,9.68,0,0,0,0
aten::as_strided,,,3.26,3.26,0,0,0,0
aten::transpose,,,4.51,7.33,0,0,0,0
aten::as_strided,,,2.82,2.82,0,0,0,0
aten::contiguous,,,3.12,77.82,0,14.42,0,0
aten::clone,,,6.38,74.7,0,14.42,0,0
empty_tensor,,,14.48,14.48,0,0,0,0
aten::copy_,,,28.71,53.84,0,14.42,0,0
aclnnInplaceCopy,,,25.13,25.13,14.42,14.42,0,0
aten::transpose,,,5.48,8.7,0,0,0,0
aten::as_strided,,,3.22,3.22,0,0,0,0
aten::to,,,1.69,1.69,0,0,0,0
aten::unsqueeze,,,2.55,4.56,0,0,0,0
aten::as_strided,,,2.01,2.01,0,0,0,0
_causal_conv1d_update_kernel_npu_tiled,,,67.95,67.95,7.26,7.26,0,0
aten::squeeze,,,7.27,13.38,0,0,0,0
aten::as_strided,,,6.11,6.11,0,0,0,0
aten::to,,,1.78,1.78,0,0,0,0
aten::split_with_sizes,,,8.12,16.22,0,0,0,0
aten::as_strided,,,4.24,4.24,0,0,0,0
aten::as_strided,,,2.83,2.83,0,0,0,0
aten::as_strided,,,1.03,1.03,0,0,0,0
aten::reshape,,,2.33,6.76,0,0,0,0
aten::view,,,4.43,4.43,0,0,0,0
aten::reshape,,,0.78,2.89,0,0,0,0
aten::view,,,2.11,2.11,0,0,0,0
aten::reshape,,,1.76,3.89,0,0,0,0
aten::view,,,2.13,2.13,0,0,0,0
aten::reshape,,,0.83,2.64,0,0,0,0
aten::view,,,1.81,1.81,0,0,0,0
aten::reshape,,,1.04,2.95,0,0,0,0
aten::view,,,1.91,1.91,0,0,0,0
aten::reshape,,,0.75,2.36,0,0,0,0
aten::view,,,1.61,1.61,0,0,0,0
aten::new_empty,,,3.82,23.68,0,0,0,0
aten::empty,,,4.74,19.86,0,0,0,0
empty_tensor,,,15.12,15.12,0,0,0,0
fused_sigmoid_gating_delta_rule_update_kernel,,,31.99,31.99,11.12,11.12,0,0
aten::squeeze,,,7.47,14.23,0,0,0,0
aten::as_strided,,,6.76,6.76,0,0,0,0
aten::squeeze,,,2.11,4.01,0,0,0,0
aten::as_strided,,,1.9,1.9,0,0,0,0
aten::copy_,,,86.1,113.74,0,0.6,0,0
aclnnInplaceCopy,,,27.64,27.64,0.6,0.6,0,0
aten::fill_,,,21.17,45.39,0,1.4,0,0
aclnnInplaceFillScalar,,,24.22,24.22,1.4,1.4,0,0
aten::fill_,,,8.73,14.59,0,1.36,0,0
aclnnInplaceFillScalar,,,5.86,5.86,1.36,1.36,0,0
vllm::unified_attention_with_output,,,345.26,863.78,0,21.080000000000002,0,0
aten::slice,,,7.73,16.18,0,0,0,0
aten::as_strided,,,8.45,8.45,0,0,0,0
aten::slice,,,1.68,4.3,0,0,0,0
aten::as_strided,,,2.62,2.62,0,0,0,0
aten::slice,,,7.16,9.21,0,0,0,0
aten::as_strided,,,2.05,2.05,0,0,0,0
atb::_npu_reshape_and_cache,,,43.68,68.31,0,2.2,0,0
ReshapeCacheOperation,,,24.63,24.63,2.2,2.2,0,0
aten::view,,,10.19,10.19,0,0,0,0
aten::view,,,4.14,4.14,0,0,0,0
aten::slice,,,2.96,5.9,0,0,0,0
aten::as_strided,,,2.94,2.94,0,0,0,0
npu::npu_fused_infer_attention_score,,,143.18,191.42,0,18.28,0,0
empty_tensor,,,14.58,14.58,0,0,0,0
empty_tensor,,,4.32,4.32,0,0,0,0
empty_tensor,,,3.45,3.45,0,0,0,0
empty_tensor,,,2.15,2.15,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,23.74,23.74,18.28,18.28,0,0
aten::view,,,5.58,5.58,0,0,0,0
aten::slice,,,4.67,7.95,0,0,0,0
aten::as_strided,,,3.28,3.28,0,0,0,0
aten::copy_,,,77.3,83.4,0,0.6,0,0
aclnnInplaceCopy,,,6.1,6.1,0.6,0.6,0,0
aten::slice,,,4.06,7.89,0,0,0,0
aten::as_strided,,,3.83,3.83,0,0,0,0
aten::copy_,,,78.79,104.05,0,0,0,0
aclnnInplaceCopy,,,25.26,25.26,0,0,0,0
aten::fill_,,,19.38,41.53,0,1.58,0,0
aclnnInplaceFillScalar,,,22.15,22.15,1.58,1.58,0,0
aten::fill_,,,9.16,13.86,0,1.36,0,0
aclnnInplaceFillScalar,,,4.7,4.7,1.36,1.36,0,0
vllm::gdn_attention_core,,,1759.37,2311.14,0,46.64,0,0
aten::transpose,,,15.49,32.01,0,0,0,0
aten::as_strided,,,16.52,16.52,0,0,0,0
aten::slice,,,4.31,8.53,0,0,0,0
aten::as_strided,,,4.22,4.22,0,0,0,0
aten::slice,,,1.88,5.25,0,0,0,0
aten::as_strided,,,3.37,3.37,0,0,0,0
aten::slice,,,1.52,3.89,0,0,0,0
aten::as_strided,,,2.37,2.37,0,0,0,0
aten::view,,,10.88,10.88,0,0,0,0
aten::slice,,,10.56,15.67,0,0,0,0
aten::as_strided,,,5.11,5.11,0,0,0,0
aten::transpose,,,5.09,8.59,0,0,0,0
aten::as_strided,,,3.5,3.5,0,0,0,0
aten::contiguous,,,3.84,106.13,0,23.68,0,0
aten::clone,,,7.42,102.29,0,23.68,0,0
empty_tensor,,,21.96,21.96,0,0,0,0
aten::copy_,,,39.17,72.91,0,23.68,0,0
aclnnInplaceCopy,,,33.74,33.74,23.68,23.68,0,0
aten::transpose,,,5.89,9.43,0,0,0,0
aten::as_strided,,,3.54,3.54,0,0,0,0
aten::to,,,2.39,2.39,0,0,0,0
aten::unsqueeze,,,3.12,6.84,0,0,0,0
aten::as_strided,,,3.72,3.72,0,0,0,0
_causal_conv1d_update_kernel_npu_tiled,,,37.91,37.91,7.12,7.12,0,0
aten::squeeze,,,8.38,15.24,0,0,0,0
aten::as_strided,,,6.86,6.86,0,0,0,0
aten::to,,,3.29,3.29,0,0,0,0
aten::split_with_sizes,,,9.97,20.51,0,0,0,0
aten::as_strided,,,5.23,5.23,0,0,0,0
aten::as_strided,,,2.76,2.76,0,0,0,0
aten::as_strided,,,2.55,2.55,0,0,0,0
aten::reshape,,,3.61,8.92,0,0,0,0
aten::view,,,5.31,5.31,0,0,0,0
aten::reshape,,,2.42,6.22,0,0,0,0
aten::view,,,3.8,3.8,0,0,0,0
aten::reshape,,,2.28,6.19,0,0,0,0
aten::view,,,3.91,3.91,0,0,0,0
aten::reshape,,,2.18,5.52,0,0,0,0
aten::view,,,3.34,3.34,0,0,0,0
aten::reshape,,,2.66,6.18,0,0,0,0
aten::view,,,3.52,3.52,0,0,0,0
aten::reshape,,,2.24,5.37,0,0,0,0
aten::view,,,3.13,3.13,0,0,0,0
aten::new_empty,,,4.14,28.02,0,0,0,0
aten::empty,,,5.95,23.88,0,0,0,0
empty_tensor,,,17.93,17.93,0,0,0,0
fused_sigmoid_gating_delta_rule_update_kernel,,,45.05,45.05,15.22,15.22,0,0
aten::squeeze,,,9.38,16.9,0,0,0,0
aten::as_strided,,,7.52,7.52,0,0,0,0
aten::squeeze,,,3.76,6.03,0,0,0,0
aten::as_strided,,,2.27,2.27,0,0,0,0
aten::copy_,,,96.26,130.81,0,0.62,0,0
aclnnInplaceCopy,,,34.55,34.55,0.62,0.62,0,0
aten::fill_,,,23.95,48.96,0,1.78,0,0
aclnnInplaceFillScalar,,,25.01,25.01,1.78,1.78,0,0
aten::fill_,,,11.25,50.74,0,1.44,0,0
aclnnInplaceFillScalar,,,39.49,39.49,1.44,1.44,0,0
vllm::gdn_attention_core,,,1671.89,2274.38,0,34.36000000000001,0,0
aten::transpose,,,12.55,21.68,0,0,0,0
aten::as_strided,,,9.13,9.13,0,0,0,0
aten::slice,,,4.74,7.57,0,0,0,0
aten::as_strided,,,2.83,2.83,0,0,0,0
aten::slice,,,1.52,3.25,0,0,0,0
aten::as_strided,,,1.73,1.73,0,0,0,0
aten::slice,,,1.26,2.68,0,0,0,0
aten::as_strided,,,1.42,1.42,0,0,0,0
aten::view,,,8.38,8.38,0,0,0,0
aten::slice,,,8.62,13.48,0,0,0,0
aten::as_strided,,,4.86,4.86,0,0,0,0
aten::transpose,,,5.1,8.07,0,0,0,0
aten::as_strided,,,2.97,2.97,0,0,0,0
aten::contiguous,,,4.25,89.59,0,15.18,0,0
aten::clone,,,7.25,85.34,0,15.18,0,0
empty_tensor,,,16.88,16.88,0,0,0,0
aten::copy_,,,31.74,61.21,0,15.18,0,0
aclnnInplaceCopy,,,29.47,29.47,15.18,15.18,0,0
aten::transpose,,,6.2,10.82,0,0,0,0
aten::as_strided,,,4.62,4.62,0,0,0,0
aten::to,,,2.27,2.27,0,0,0,0
aten::unsqueeze,,,3.26,6.32,0,0,0,0
aten::as_strided,,,3.06,3.06,0,0,0,0
_causal_conv1d_update_kernel_npu_tiled,,,70.02,70.02,7.24,7.24,0,0
aten::squeeze,,,8.25,15.34,0,0,0,0
aten::as_strided,,,7.09,7.09,0,0,0,0
aten::to,,,3.73,3.73,0,0,0,0
aten::split_with_sizes,,,10.42,36.69,0,0,0,0
aten::as_strided,,,5.28,5.28,0,0,0,0
aten::as_strided,,,19.39,19.39,0,0,0,0
aten::as_strided,,,1.6,1.6,0,0,0,0
aten::reshape,,,3.95,26.83,0,0,0,0
aten::view,,,22.88,22.88,0,0,0,0
aten::reshape,,,1.34,4.78,0,0,0,0
aten::view,,,3.44,3.44,0,0,0,0
aten::reshape,,,2.15,5.02,0,0,0,0
aten::view,,,2.87,2.87,0,0,0,0
aten::reshape,,,1.79,3.86,0,0,0,0
aten::view,,,2.07,2.07,0,0,0,0
aten::reshape,,,2.19,11.9,0,0,0,0
aten::view,,,9.71,9.71,0,0,0,0
aten::reshape,,,1.87,3.79,0,0,0,0
aten::view,,,1.92,1.92,0,0,0,0
aten::new_empty,,,3.79,25.84,0,0,0,0
aten::empty,,,5.93,22.05,0,0,0,0
empty_tensor,,,16.12,16.12,0,0,0,0
fused_sigmoid_gating_delta_rule_update_kernel,,,52.82,52.82,11.34,11.34,0,0
